OldId,GeneId
4,DISCONTINUED
5,DISCONTINUED
6,DISCONTINUED
7,DISCONTINUED
8,7003
42,51596
44,1261
45,54714
57,7291
61,643309
65,DISCONTINUED
76,648740
77,100462767
84,DISCONTINUED
85,DISCONTINUED
96,79839
99,348
110,196883
121,120
129,DISCONTINUED
138,DISCONTINUED
139,DISCONTINUED
149,146
168,55630
180,375790
184,57486
188,DISCONTINUED
193,6567
194,57491
195,79026
198,778
200,10117
209,412
227,391538
232,401982
233,DISCONTINUED
234,729347
235,390402
237,DISCONTINUED
244,728113
252,57679
254,23064
255,80208
256,55806
260,7169
264,4882
294,222005
295,DISCONTINUED
296,266623
297,DISCONTINUED
298,442525
299,644042
300,442255
315,1280
340,DISCONTINUED
349,DISCONTINUED
352,DISCONTINUED
365,364
370,644000
371,DISCONTINUED
376,378
385,388
386,389
404,83872
422,7043
423,6262
426,3106
428,129880
437,5309
441,389652
446,442167
448,158452
452,339845
456,340274
457,392302
458,341230
461,DISCONTINUED
464,85300
494,DISCONTINUED
497,522
499,DISCONTINUED
500,442416
502,498
503,442416
505,645443
508,DISCONTINUED
510,665
511,509
512,645560
519,10476
524,DISCONTINUED
530,729435
531,343515
532,100462844
536,50617
548,3184
555,DISCONTINUED
556,DISCONTINUED
557,54840
559,28982
561,DISCONTINUED
562,7080
564,646282
565,401393
569,6872
584,84100
588,DISCONTINUED
589,3827
591,DISCONTINUED
592,DISCONTINUED
609,348980
612,27032
614,400892
615,644165
621,4920
625,DISCONTINUED
626,9759
630,84295
647,DISCONTINUED
674,DISCONTINUED
679,23397
681,10555
691,652963
692,132556
697,DISCONTINUED
698,DISCONTINUED
702,1028
703,5002
704,5003
707,5728
709,DISCONTINUED
723,727859
736,8577
737,64776
739,738
742,DISCONTINUED
743,9024
748,29800
749,10328
751,10328
756,754
769,56934
787,10216
791,4854
792,302
803,100128390
809,802
812,1069
848,DISCONTINUED
849,DISCONTINUED
850,DISCONTINUED
851,DISCONTINUED
852,DISCONTINUED
853,DISCONTINUED
854,DISCONTINUED
855,DISCONTINUED
870,147381
872,871
876,84733
877,2201
879,1415
880,2651
884,DISCONTINUED
888,200575
893,595
903,4171
906,6261
918,DISCONTINUED
934,100133941
964,27087
979,146059
980,10483
985,728642
986,728642
992,1778
1023,DISCONTINUED
1034,DISCONTINUED
1035,578
1037,10682
1042,6584
1049,DISCONTINUED
1064,429
1067,1066
1076,391039
1077,100131874
1078,645980
1079,1947
1099,DISCONTINUED
1100,23230
1110,590
1115,6023
1125,DISCONTINUED
1126,2228
1127,2229
1148,338917
1150,3561
1162,2074
1165,23203
1166,492
1168,160
1169,161
1170,163
1171,162
1172,164
1177,1917
1189,5243
1190,1811
1194,9124
1199,3912
1202,80331
1205,54982
1206,256471
1210,6197
1214,8218
1216,6687
1217,4000
1219,11155
1220,7139
1221,6331
1222,1674
1223,1674
1224,7137
1225,56172
1226,4625
1227,7139
1228,7168
1229,3577
1231,729230
1239,1524
1242,2852
1245,DISCONTINUED
1246,DISCONTINUED
1247,DISCONTINUED
1248,5376
1249,23095
1250,7879
1251,54332
1252,8898
1256,11081
1273,358
1274,6103
1276,157680
1304,1303
1309,80781
1313,DISCONTINUED
1320,1406
1321,DISCONTINUED
1322,3000
1323,3000
1324,22999
1328,122867
1334,100288440
1335,DISCONTINUED
1341,140603
1344,100462850
1354,1353
1367,DISCONTINUED
1372,340451
1377,50945
1383,5648
1391,55636
1402,171422
1403,7291
1405,DISCONTINUED
1422,200575
1433,6513
1449,60506
1450,778
1451,60506
1458,283106
1461,11136
1492,6899
1494,3299
1502,3728
1505,440387
1507,7276
1516,118945
1529,DISCONTINUED
1530,100128621
1533,100289051
1542,643160
1546,DISCONTINUED
1547,1548
1552,1550
1554,1555
1560,1559
1561,1562
1563,1557
1567,1564
1569,1565
1570,1568
1574,DISCONTINUED
1575,1576
1597,2703
1598,2700
1599,2700
1614,488
1619,1620
1625,DISCONTINUED
1626,DISCONTINUED
1631,1718
1640,10540
1651,4137
1658,338453
