LOC79999,('LOC79999', '79999')
LOC81691,('REXO5', '81691')
LOC113230,('MISP3', '113230')
LOC149373,('LOC149373', '149373')
LOC158434,('LOC158434', '158434')
LOC200726,('FAM237A', '200726')
LOC283710,('LOC283710', '283710')
LOC286238,('LINC02843', '286238')
LOC339862,('LOC339862', '339862')
LOC388282,('LOC388282', '388282')
LOC388436,('LOC388436', '388436')
LOC388780,('LOC388780', '388780')
LOC388813,('LOC388813', '388813')
LOC388849,('CCDC188', '388849')
LOC389602,('LOC389602', '389602')
LOC389895,('LOC389895', '389895')
LOC391003,('PRAMEF18', '391003')
FLJ44635,('FLJ44635', '392490')
LOC400736,('PRAMEF13', '400736')
LOC400863,('LINC00649', '100506334')
LOC401052,('', 'discontinued')
LOC403312,('LOC403312', '403312')
LOC441155,('LOC441155', '441155')
TARP,('TARP', '445347')
LOC554223,('HLA-V', '352962')
LOC643355,('LINC01750', '643355')
LOC643802,('LOC643802', '643802')
LOC645382,('PRAMEF33', '645382')
LOC650293,('LOC650293', '650293')
LOC653602,('LRATD1', '151354')
LOC728392,('LOC728392', '728392')
LOC728485,('LOC728485', '728485')
LOC729159,('NPAP1L', '729159')
FLJ45513,('FLJ45513', '729220')
LOC730159,('TEX50', '730159')
LOC730183,('LOC730183', '730183')
HGC6.3,('HGC6.3', '100128124')
LOC100129083,('LOC100129083', '100129083')
LOC100129216,('DEFB131B', '100129216')
LOC100129520,('TEX13C', '100129520')
LOC100129697,('LOC100129697', '100129697')
LOC100129924,('TMEM269', '100129924')
LOC100129940,('HMGA2-AS1', '100129940')
LOC100130357,('LOC100130357', '100130357')
LOC100130370,('LOC100130370', '100130370')
LOC100130451,('SPAG16-DT', '100130451')
LOC100130705,('ATP6V1FNB', '100130705')
LOC100130880,('CREB3L2-AS1', '100130880')
LOC100131303,('DPEP2NB', '100131303')
LOC100132146,('FAM240A', '100132146')
LOC100133267,('DEFB130B', '100133267')
LOC100134391,('LOC100134391', '100134391')
LOC100144595,('LOC100144595', '100144595')
LOC100287036,('LOC100287036', '100287036')
WI2-2373I1.2,('FOXL3-OT1', '100288524')
GS1-259H13.2,('TMEM225B', '100289187')
LOC100289561,('LOC100289561', '100289561')
LOC100505478,('TEX48', '100505478')
LOC100505549,('LOC100505549', '100505549')
LOC100505841,('LOC100505841', '100505841')
LOC100506388,('LOC100506388', '100506388')
LOC100506422,('LOC100506422', '100506422')
LOC100507462,('CCDC28A-AS1', '100507462')
THEG5,('THEG5', '100507527')
PHOSPHO2-KLHL23,('PHOSPHO2-KLHL23', '100526832')
ZNF664-FAM101A,('ZNF664-RFLNA', '100533183')
MAGEA10-MAGEA5,('MAGEA10-MAGEA5', '100533997')
TNFAIP8L2-SCNM1,('TNFAIP8L2-SCNM1', '100534012')
LOC100652758,('LOC100652758', '100652758')
LOC100996634,('CCDC162P', '221262')
LOC100996693,('SPEGNB', '100996693')
LOC101060321,('TBC1D3G', '101060321')
LOC101060389,('TBC1D3D', '101060389')
LOC101927322,('LOC101927322', '101927322')
LOC101927572,('LOC101927572', '101927572')
LOC101927844,('LINC02801', '101927844')
LOC101928093,('LOC101928093', '101928093')
LOC101928436,('LOC101928436', '101928436')
LOC101928841,('LOC101928841', '101928841')
LOC101929372,('LOC101929372', '101929372')
LOC101929983,('PRAMEF27', '101929983')
LOC102723859,('TBC1D3E', '102723859')
LOC102724279,('CLEC4O', '102724279')
LOC102724862,('TBC1D3I', '102724862')
LOC102724957,('LOC102724957', '102724957')
LOC400927-CSNK1E,('TPTEP2-CSNK1E', '102800317')
MGC57346-CRHR1,('LINC02210-CRHR1', '104909134')
hsa-mir-1244-1,('MIR1244-1', '100302285')
FLJ22184,('', 'no hits')
LOC100127983,('C8orf88', '100127983')
LOC154872,('C7orf77', '154872')
hsa-mir-664a,('MIR664A', '100302234')
hsa-mir-1268a,('MIR1268A', '100302233')
LOC100507003,('GFY', '100507003')
Sep-03,('', 'no hits')
hsa-mir-365a,('MIR365A', '100126355')
Sep-07,('', 'no hits')
Sep-11,('', 'no hits')
Sep-10,('', 'no hits')
Sep-15,('SELENOF', '9403')
LOC100130480,('LINC01387', '100130480')
hsa-mir-365b,('MIR365B', '100126356')
LOC643037,('C11orf97', '643037')
LOC256021,('LINC01619', '256021')
Mar-08,('', 'no hits')
hsa-mir-151a,('MIR151A', '442893')
LOC100996485,('C5orf66', '100996485')
Sep-12,('', 'no hits')
LOC100506688,('LOC100506688', '100506688')
C1orf151-NBL1,('MICOS10-NBL1', '100532736')
LOC729020,('RPEL1', '729020')
LOC728819,('C1GALT1C1L', '728819')
LOC100130301,('C8orf89', '100130301')
LOC100287534,('KIR2DL4', '3805')
hsa-mir-219a-1,('MIR219A1', '407002')
hsa-mir-219a-2,('MIR219A2', '407003')
Mar-07,('', 'no hits')
hsa-mir-147a,('MIR147A', '406939')
LOC100287177,('EML2-AS1', '100287177')
hsa-mir-514a-1,('MIR514A1', '574516')
hsa-mir-190a,('MIR190A', '406965')
hsa-mir-644a,('MIR644A', '693229')
LOC440335,('SMIM22', '440335')
Dec-01,('', 'no hits')
hsa-mir-1269a,('MIR1269A', '100302177')
LOC100288814,('CLDN34', '100288814')
Mar-11,('', 'no hits')
LOC643669,('CCER2', '643669')
Sep-06,('', 'no hits')
LOC100288255,('FRG2', '448831')
LOC100130539,('LINC02881', '100130539')
Mar-03,('', 'no hits')
CYP3A7-CYP3AP1,('CYP3A7-CYP3A51P', '100861540')
LOC402160,('CFAP99', '402160')
Mar-10,('', 'no hits')
Sep-14,('', 'no hits')
Sep-04,('', 'no hits')
hsa-mir-1273a,('', 'discontinued')
Mar-05,('', 'no hits')
LOC440563,('HNRNPCL2', '440563')
hsa-mir-219b,('MIR219B', '100616335')
hsa-mir-4666a,('MIR4666A', '100616308')
Sep-09,('', 'no hits')
LOC100129361,('SMIM10L1', '100129361')
hsa-mir-3135a,('MIR3135A', '100422901')
Sep-05,('', 'no hits')
LOC646862,('RNF225', '646862')
Mar-09,('', 'no hits')
hsa-mir-1254-1,('', 'discontinued')
FLJ44313,('', 'no hits')
hsa-mir-181a-1,('MIR181A1', '406995')
LOC147646,('C19orf84', '147646')
hsa-mir-1260a,('MIR1260A', '100302236')
LOC100130348,('TMEM262', '100130348')
Mar-06,('', 'no hits')
LOC100288524,('FOXL3-OT1', '100288524')
hsa-mir-4436b-1,('MIR4436B1', '100616123')
Sep-02,('', 'no hits')
hsa-mir-549a,('MIR549A', '693132')
Sep-08,('', 'no hits')
hsa-mir-4524a,('MIR4524A', '100616316')
LOC100131094,('DPP9-AS1', '100131094')
LOC100505679,('UBE2Q2L', '100505679')
LOC152586,('MGAT4D', '152586')
Mar-04,('', 'no hits')
SF3B14,('SF3B6', '51639')
SPDYE2L,('SPDYE2B', '100310812')
hsa-mir-378a,('MIR378A', '494327')
hsa-mir-663a,('MIR663A', '724033')
LOC100653515,('CEP295NL', '100653515')
LOC653486,('SCGB1C2', '653486')
LOC391322,('LOC391322', '391322')
LOC649330,('HNRNPCL3', '649330')
LOC100129636,('LOC100129636', '100129636')
LOC440243,('GOLGA6L22', '440243')
FLJ25363,('', 'no hits')
hsa-mir-181a-2,('MIR181A2', '406954')
Mar-02,('', 'no hits')
hsa-mir-371a,('MIR371A', '442916')
LOC100289187,('TMEM225B', '100289187')
hsa-mir-500a,('MIR500A', '574502')
LOC100862671,('TMEM265', '100862671')
RBAK-LOC389458,('RBAK-RBAKDN', '100533952')
LOC100652824,('KIAA2012', '100652824')
hsa-mir-320a,('MIR320A', '407037')
hsa-mir-323a,('MIR323A', '442897')
LOC283403,('LINC02874', '283403')
LOC284385,('ZNF561-AS1', '284385')
hsa-mir-499b,('MIR499B', '100616134')
LOC646498,('C3orf84', '646498')
CSB-PGBD3,('ERCC6', '2074')
hsa-mir-513a-2,('MIR513A2', '574510')
hsa-mir-544a,('MIR544A', '664613')
LOC729059,('TEX46', '729059')
hsa-mir-1972-1,('MIR1972-1', '100302243')
hsa-mir-203a,('MIR203A', '406986')
hsa-mir-642a,('MIR642A', '693227')
hsa-mir-203b,('MIR203B', '100616173')
AKAP17A_X,('', 'no hits')
AKAP17A_Y,('', 'no hits')
ASMT_X,('', 'no hits')
ASMT_Y,('', 'no hits')
ASMTL_X,('', 'no hits')
ASMTL_Y,('', 'no hits')
CD99_X,('', 'no hits')
CD99_Y,('', 'no hits')
CRLF2_X,('', 'no hits')
CRLF2_Y,('', 'no hits')
CSF2RA_X,('', 'no hits')
CSF2RA_Y,('', 'no hits')
DHRSX_X,('', 'no hits')
DHRSX_Y,('', 'no hits')
GTPBP6_X,('', 'no hits')
GTPBP6_Y,('', 'no hits')
IL3RA_X,('', 'no hits')
IL3RA_Y,('', 'no hits')
IL9R_X,('', 'no hits')
IL9R_Y,('', 'no hits')
LOC100129480,('MKRN2OS', '100129480')
LOC100132247,('NPIPB5', '100132247')
LOC100287399,('POTEB2', '100287399')
LOC100288332,('NPIPA5', '100288332')
LOC100996331,('POTEB', '100996331')
LOC642778,('NPIPA3', '642778')
LOC642799,('NPIPA2', '642799')
NUTMF,('NUTM2F', '54754')
NUTMG,('NUTM2G', '441457')
P2RY8_X,('', 'no hits')
P2RY8_Y,('', 'no hits')
PLCXD1_X,('', 'no hits')
PLCXD1_Y,('', 'no hits')
PPP2R3B_X,('', 'no hits')
PPP2R3B_Y,('', 'no hits')
SHOX_X,('', 'no hits')
SHOX_Y,('', 'no hits')
SLC25A6_X,('', 'no hits')
SLC25A6_Y,('', 'no hits')
SPRY3_X,('', 'no hits')
SPRY3_Y,('', 'no hits')
VAMP7_X,('', 'no hits')
VAMP7_Y,('', 'no hits')
ZBED1_X,('', 'no hits')
ZBED1_Y,('', 'no hits')
hsa-mir-1184-1,('MIR1184-1', '100302111')
hsa-mir-1233-1,('MIR1233-1', '100302160')
hsa-mir-1245a,('MIR1245A', '100302219')
hsa-mir-1270-1,('MIR1270', '100302179')
hsa-mir-1295a,('MIR1295A', '100302178')
hsa-mir-3155a,('MIR3155A', '100422989')
hsa-mir-3670-1,('MIR3670-1', '100500910')
hsa-mir-3680-1,('MIR3680-1', '100500917')
hsa-mir-3690-1,('MIR3690', '100500894')
hsa-mir-4444-1,('MIR4444-1', '100616394')
hsa-mir-451a,('MIR451A', '574411')
hsa-mir-4536-1,('MIR4536-1', '100616155')
hsa-mir-511,('MIR511', '574445')
hsa-mir-514a-2,('MIR514A2', '574517')
hsa-mir-514a-3,('MIR514A3', '574518')
hsa-mir-550a-1,('MIR550A1', '693133')
hsa-mir-6089-2,('MIR6089', '102464837')
LOC101059918,('GOLGA8R', '101059918')
LOC101928603,('ARMH2', '101928603')
LOC729574,('', 'discontinued')
LOC100506127,('GVQW3', '100506127')
LOC100996758,('NPY4R2', '100996758')
LOC728637,('MEIKIN', '728637')
ntctrl0,('', 'no hits')
ntctrl1,('', 'no hits')
ntctrl2,('', 'no hits')
ntctrl3,('', 'no hits')
ntctrl4,('', 'no hits')
ntctrl5,('', 'no hits')
ntctrl6,('', 'no hits')
ntctrl7,('', 'no hits')
ntctrl8,('', 'no hits')
ntctrl9,('', 'no hits')
ntctrl10,('', 'no hits')
ntctrl11,('', 'no hits')
ntctrl12,('', 'no hits')
ntctrl13,('', 'no hits')
ntctrl14,('', 'no hits')
ntctrl15,('', 'no hits')
ntctrl16,('', 'no hits')
ntctrl17,('', 'no hits')
ntctrl18,('', 'no hits')
ntctrl19,('', 'no hits')
ntctrl20,('', 'no hits')
ntctrl21,('', 'no hits')
ntctrl22,('', 'no hits')
ntctrl23,('', 'no hits')
ntctrl24,('', 'no hits')
ntctrl25,('', 'no hits')
ntctrl26,('', 'no hits')
ntctrl27,('', 'no hits')
ntctrl28,('', 'no hits')
ntctrl29,('', 'no hits')
ntctrl30,('', 'no hits')
ntctrl31,('', 'no hits')
ntctrl32,('', 'no hits')
ntctrl33,('', 'no hits')
