Approved_symbol,HGNC_ID,Approved_symbol,Chromosome,Locus_group,Locus_type,HGNC_family_name,Date_symbol_changed,Ensembl_gene_ID,NCBI_gene_ID,UniProt_accession
A1BG,HGNC:5,A1BG,19,protein-coding gene,gene with protein product,,,ENSG00000121410,1,P04217
A1BG-AS1,HGNC:37133,A1BG-AS1,19,non-coding RNA,"RNA, long non-coding",,2010-11-25,ENSG00000268895,503538,
A1CF,HGNC:24086,A1CF,10,protein-coding gene,gene with protein product,,,ENSG00000148584,29974,Q9NQ94
A2M,HGNC:7,A2M,12,protein-coding gene,gene with protein product,,,ENSG00000175899,2,P01023
A2M-AS1,HGNC:27057,A2M-AS1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000245105,144571,
A2ML1,HGNC:23336,A2ML1,12,protein-coding gene,gene with protein product,,2005-09-01,ENSG00000166535,144568,A8K2U0
A2ML1-AS1,HGNC:41022,A2ML1-AS1,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000256661,100874108,
A2ML1-AS2,HGNC:41523,A2ML1-AS2,12,non-coding RNA,"RNA, long non-coding",,,ENSG00000256904,106478979,
A2MP1,HGNC:8,A2MP1,12,pseudogene,pseudogene,,2010-02-24,ENSG00000256069,3,
A3GALT2,HGNC:30005,A3GALT2,1,protein-coding gene,gene with protein product,,2013-03-11,ENSG00000184389,127550,U3KPV4
A4GALT,HGNC:18149,A4GALT,22,protein-coding gene,gene with protein product,,,ENSG00000128274,53947,Q9NPC4
A4GNT,HGNC:17968,A4GNT,3,protein-coding gene,gene with protein product,,,ENSG00000118017,51146,Q9UNA3
AAAS,HGNC:13666,AAAS,12,protein-coding gene,gene with protein product,,,ENSG00000094914,8086,Q9NRG9
AACS,HGNC:21298,AACS,12,protein-coding gene,gene with protein product,,,ENSG00000081760,65985,Q86V21
AACSP1,HGNC:18226,AACSP1,5,pseudogene,pseudogene,,2010-09-29,ENSG00000250420,729522,
AADAC,HGNC:17,AADAC,3,protein-coding gene,gene with protein product,,,ENSG00000114771,13,P22760
AADACL2,HGNC:24427,AADACL2,3,protein-coding gene,gene with protein product,,,ENSG00000197953,344752,Q6P093
AADACL2-AS1,HGNC:50301,AADACL2-AS1,3,non-coding RNA,"RNA, long non-coding",,,ENSG00000242908,101928142,
AADACL3,HGNC:32037,AADACL3,1,protein-coding gene,gene with protein product,,,ENSG00000188984,126767,Q5VUY0
AADACL4,HGNC:32038,AADACL4,1,protein-coding gene,gene with protein product,,,ENSG00000204518,343066,Q5VUY2
AADACP1,HGNC:50305,AADACP1,3,pseudogene,pseudogene,,,ENSG00000240602,201651,
AADAT,HGNC:17929,AADAT,4,protein-coding gene,gene with protein product,,,ENSG00000109576,51166,Q8N5Z0
AAGAB,HGNC:25662,AAGAB,15,protein-coding gene,gene with protein product,,,ENSG00000103591,79719,Q6PD74
AAK1,HGNC:19679,AAK1,2,protein-coding gene,gene with protein product,,,ENSG00000115977,22848,Q2M2I8
AAMDC,HGNC:30205,AAMDC,11,protein-coding gene,gene with protein product,,2012-10-08,ENSG00000087884,28971,Q9H7C9
AAMP,HGNC:18,AAMP,2,protein-coding gene,gene with protein product,,,ENSG00000127837,14,Q13685
AANAT,HGNC:19,AANAT,17,protein-coding gene,gene with protein product,,,ENSG00000129673,15,Q16613
AAR2,HGNC:15886,AAR2,20,protein-coding gene,gene with protein product,,2012-07-20,ENSG00000131043,25980,Q9Y312
AARD,HGNC:33842,AARD,8,protein-coding gene,gene with protein product,,2012-04-19,ENSG00000205002,441376,Q4LEZ3
AARS1,HGNC:20,AARS1,16,protein-coding gene,gene with protein product,,2019-07-15,ENSG00000090861,16,P49588
AARS1P1,HGNC:49894,AARS1P1,4,pseudogene,pseudogene,,2019-07-15,ENSG00000249038,106480683,
AARS2,HGNC:21022,AARS2,6,protein-coding gene,gene with protein product,,2007-02-23,ENSG00000124608,57505,Q5JTZ9
AARSD1,HGNC:28417,AARSD1,17,protein-coding gene,gene with protein product,,,ENSG00000266967,80755,Q9BTE6
AARSD1P1,HGNC:54994,AARSD1P1,X,pseudogene,pseudogene,,,ENSG00000234969,117981788,
AASDH,HGNC:23993,AASDH,4,protein-coding gene,gene with protein product,,,ENSG00000157426,132949,Q4L235
AASDHPPT,HGNC:14235,AASDHPPT,11,protein-coding gene,gene with protein product,,,ENSG00000149313,60496,Q9NRN7
AASS,HGNC:17366,AASS,7,protein-coding gene,gene with protein product,,,ENSG00000008311,10157,Q9UDR5
AATBC,HGNC:51526,AATBC,21,non-coding RNA,"RNA, long non-coding",,,ENSG00000215458,284837,
AATF,HGNC:19235,AATF,17,protein-coding gene,gene with protein product,,,ENSG00000275700,26574,Q9NY61
AATK,HGNC:21,AATK,17,protein-coding gene,gene with protein product,,,ENSG00000181409,9625,Q6ZMQ8
AAVS1,HGNC:22,AAVS1,19,other,virus integration site,,,,17,
ABALON,HGNC:49667,ABALON,20,non-coding RNA,"RNA, long non-coding",,,ENSG00000281376,103021294,
ABAT,HGNC:23,ABAT,16,protein-coding gene,gene with protein product,,,ENSG00000183044,18,P80404
ABCA1,HGNC:29,ABCA1,9,protein-coding gene,gene with protein product,,,ENSG00000165029,19,O95477
ABCA2,HGNC:32,ABCA2,9,protein-coding gene,gene with protein product,,,ENSG00000107331,20,Q9BZC7
ABCA3,HGNC:33,ABCA3,16,protein-coding gene,gene with protein product,,,ENSG00000167972,21,Q99758
ABCA3P1,HGNC:55707,ABCA3P1,16,pseudogene,pseudogene,,,ENSG00000257408,342293,
ABCA4,HGNC:34,ABCA4,1,protein-coding gene,gene with protein product,,,ENSG00000198691,24,P78363
ABCA5,HGNC:35,ABCA5,17,protein-coding gene,gene with protein product,,,ENSG00000154265,23461,Q8WWZ7
ABCA6,HGNC:36,ABCA6,17,protein-coding gene,gene with protein product,,,ENSG00000154262,23460,Q8N139
ABCA7,HGNC:37,ABCA7,19,protein-coding gene,gene with protein product,,,ENSG00000064687,10347,Q8IZY2
ABCA8,HGNC:38,ABCA8,17,protein-coding gene,gene with protein product,,,ENSG00000141338,10351,O94911
ABCA9,HGNC:39,ABCA9,17,protein-coding gene,gene with protein product,,,ENSG00000154258,10350,Q8IUA7
ABCA9-AS1,HGNC:39983,ABCA9-AS1,17,non-coding RNA,"RNA, long non-coding",,,ENSG00000231749,104355297,
ABCA10,HGNC:30,ABCA10,17,protein-coding gene,gene with protein product,,,ENSG00000154263,10349,Q8WWZ4
ABCA11P,HGNC:31,ABCA11P,4,pseudogene,pseudogene,,2008-09-09,ENSG00000251595,79963,
ABCA12,HGNC:14637,ABCA12,2,protein-coding gene,gene with protein product,,,ENSG00000144452,26154,Q86UK0
